"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","49","4","4","1","4.099795","0","4"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","49","54","56","6","59.256042","0","70"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","49","68","5","1","125.595634","0","282"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","49","6","6","1","6.208261","0","6"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","49","87","9","1","103.573708","0","480"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","49","127","9","1","159.570190","0","892"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","49","782","10","1","874.250977","0","15458"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","49","30","5","1","33.558804","0","258"
"/Game/Materials/DefaultTextMaterialAlpha.DefaultTextMaterialAlpha","49","20","6","1","27.435732","0","131"
"/Game/Scena/Screens/LEDRIGHT.LEDRIGHT","49","14","3","1","18.740070","0","105"
"/Game/Scena/Screens/LEDLEFT.LEDLEFT","49","14","1","1","17.106419","0","76"
"/Game/Scena/Lineup/Pitch.Pitch","49","36","8","1","53.030972","0","343"
"/Game/Scena/Lineup/Player_texture.Player_texture","49","7","1","1","7.344580","0","34"
"/Game/Scena/Material_006.Material_006","49","14","1","1","15.671931","0","78"
"/Game/Scena/Wooden_floor_002.Wooden_floor_002","49","14","1","1","16.853184","0","98"
"/Game/Scena/Roof_rings_wood.Roof_rings_wood","49","14","4","1","18.174673","0","102"
"/Game/Scena/Floor_Baked.Floor_Baked","49","14","1","1","18.285723","0","82"
"/Game/Scena/column_back_001_Baked.column_back_001_Baked","49","14","1","1","17.434334","0","67"
"/Game/Scena/Center_stand_Baked.Center_stand_Baked","49","14","1","1","18.826031","0","66"
"/Game/Scena/MAIN_WALLS.MAIN_WALLS","49","14","2","1","17.594259","0","59"
"/Game/Scena/Back_pillar1_Baked.Back_pillar1_Baked","49","14","2","1","18.603813","0","71"
